Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
24/02/2026,Ginger(Green),103,Dehradoon,FAQ,Chakrata APMC,2600,2400,2500,Uttarakhand,Green Ginger
23/02/2026,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,2200,2000,2100,Uttarakhand,Colacasia
02/02/2026,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,1800,1500,1600,Uttarakhand,Colacasia
22/01/2026,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,2200,1800,2000,Uttarakhand,Colacasia
08/01/2026,Ginger(Green),103,Dehradoon,FAQ,Chakrata APMC,2500,1500,2000,Uttarakhand,Green Ginger
03/12/2025,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,1200,1000,1100,Uttarakhand,Other
04/12/2025,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,1000,800,900,Uttarakhand,Other
08/12/2025,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,1200,1000,1100,Uttarakhand,Other
20/12/2025,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,1500,1200,1400,Uttarakhand,Other
16/12/2025,Ginger(Green),103,Dehradoon,FAQ,Chakrata APMC,1800,1200,1500,Uttarakhand,Other
03/12/2025,Ginger(Green),103,Dehradoon,FAQ,Chakrata APMC,1800,1500,1600,Uttarakhand,Other
03/11/2025,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,2200,1800,2000,Uttarakhand,Other
19/11/2025,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,2000,1500,1800,Uttarakhand,Other
24/11/2025,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,1500,1200,1400,Uttarakhand,Other
02/11/2025,Ginger(Green),103,Dehradoon,FAQ,Chakrata APMC,4000,3000,3500,Uttarakhand,Other
02/03/2026,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,3000,2500,2800,Uttarakhand,Colacasia
05/03/2026,Field Pea,64,Dehradoon,FAQ,Chakrata APMC,2200,1500,2000,Uttarakhand,Field Pea
08/04/2026,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,3000,2500,2800,Uttarakhand,Colacasia
19/04/2026,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,3000,2000,2500,Uttarakhand,Colacasia
07/04/2026,Field Pea,64,Dehradoon,FAQ,Chakrata APMC,2000,1800,1900,Uttarakhand,Field Pea
08/04/2026,Field Pea,64,Dehradoon,FAQ,Chakrata APMC,2000,1500,1800,Uttarakhand,Field Pea
21/04/2026,Field Pea,64,Dehradoon,FAQ,Chakrata APMC,2000,1500,1800,Uttarakhand,Field Pea
28/04/2026,Field Pea,64,Dehradoon,FAQ,Chakrata APMC,2000,1500,1800,Uttarakhand,Field Pea
13/05/2026,Field Pea,64,Dehradoon,FAQ,Chakrata APMC,1800,1500,1600,Uttarakhand,Field Pea
02/12/2025,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,1400,1200,1300,Uttarakhand,Other
26/12/2025,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,1400,1000,1200,Uttarakhand,Other
31/12/2025,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,2000,1000,1500,Uttarakhand,Other
22/12/2025,Colacasia,318,Dehradoon,FAQ,Chakrata APMC,3500,2500,3000,Uttarakhand,Colacasia
18/12/2025,Ginger(Green),103,Dehradoon,FAQ,Chakrata APMC,1800,1500,1600,Uttarakhand,Other
05/12/2025,Ginger(Green),103,Dehradoon,FAQ,Chakrata APMC,2200,1500,1800,Uttarakhand,Other
21/01/2026,Ginger(Green),103,Dehradoon,FAQ,Chakrata APMC,3800,3000,3500,Uttarakhand,Green Ginger
